CustomerID,Age,Gender,Tenure,MonthlyCharges,ServiceUsage,ContractType,PaymentMethod,CustomerSupportCalls,ChurnCategory
CUST00001,34.783100659248134,Male,22.46055483259572,86.3111778833491,1.3687966423051245,Two-Year,Mailed Check,0.0,Low Risk
CUST00002,45.49964509703739,Male,8.517961228646971,169.6182141348836,19.82972218006733,Month-to-Month,Credit Card,2.0,Medium Risk
CUST00003,31.865031521231856,Male,18.33542816803706,44.41186262465243,5.645398309830253,Month-to-Month,Credit Card,1.0,Medium Risk
CUST00004,57.852490456481306,Male,24.93079538684823,84.47242200847994,21.522831629253854,Two-Year,Electronic Check,5.0,Low Risk
CUST00005,53.84923148521675,Male,7.671133723539785,131.97685395056672,5.631936680602813,Month-to-Month,Credit Card,3.0,Medium Risk
CUST00006,43.477007858325706,,14.56230206143371,74.95079864520278,6.406231013379636,Two-Year,Electronic Check,1.0,Low Risk
CUST00007,33.965274651231475,Male,13.69065908781623,75.97781592888002,18.151007182636235,Month-to-Month,Bank Transfer,4.0,Low Risk
CUST00008,34.205513938517804,Male,,26.674164892643674,,Two-Year,Credit Card,2.0,Low Risk
CUST00009,42.882097382143485,Male,17.795620085196497,14.338559317810564,7.6817746850109625,One-Year,Credit Card,0.0,Low Risk
CUST00010,61.67840517294598,Male,24.263394471716815,48.821052310286774,5.711639933381192,Month-to-Month,Credit Card,3.0,Low Risk
CUST00011,26.834346387873477,Female,5.776561474544252,61.782601680981834,3.557274020285396,Month-to-Month,Bank Transfer,3.0,Low Risk
CUST00012,39.93542672535314,Male,25.89060552193305,95.09441550375422,4.168034816708967,Two-Year,Credit Card,1.0,Low Risk
CUST00013,51.014756047646884,Female,13.232191499482195,33.49669391223155,15.41243827173073,One-Year,,2.0,Low Risk
CUST00014,46.88879360732635,Male,18.508168229907426,167.9957041592643,28.471225295800313,Month-to-Month,Bank Transfer,2.0,Medium Risk
CUST00015,43.53940703448826,Male,24.402540628379853,68.76606354087325,5.422659677321812,One-Year,Credit Card,2.0,Low Risk
CUST00016,20.98367610243261,Male,23.184844381880282,31.933231507753867,7.970204568055229,,Bank Transfer,0.0,Low Risk
CUST00017,34.40414311245204,Female,13.60203404589713,44.29095624934841,1.0,Month-to-Month,Bank Transfer,2.0,Low Risk
CUST00018,69.17074252031763,Female,14.123669496243867,85.80231595677567,11.492281373257207,One-Year,Mailed Check,3.0,Low Risk
CUST00019,46.44755688133321,Female,15.684554580607898,62.9072801761581,,Two-Year,Mailed Check,3.0,Low Risk
CUST00020,47.12668079040479,Female,17.840516412270105,22.141805761624106,3.675689024178433,Month-to-Month,Mailed Check,3.0,Low Risk
CUST00021,32.7830367653422,Male,14.670299131979604,40.947079887562346,6.847623053925355,One-Year,Credit Card,1.0,Low Risk
CUST00022,64.94814770383942,Male,10.087812028166416,33.299827467841524,13.937615576898141,One-Year,Credit Card,3.0,Low Risk
CUST00023,,Female,22.66768128486897,73.92226521969758,29.637084137484496,Month-to-Month,Mailed Check,4.0,Low Risk
CUST00024,50.484045218657286,Male,19.48305680900969,35.883374387845,18.67026980722191,One-Year,Credit Card,0.0,Low Risk
CUST00025,32.529367923329104,Male,14.81547845786787,54.36692003007569,11.883102342850941,Month-to-Month,Mailed Check,2.0,Medium Risk
CUST00026,20.12311615696921,Male,7.344658688681277,12.849825156850443,14.219137739223086,Two-Year,Electronic Check,1.0,Low Risk
CUST00027,38.66119737212619,Male,19.918011665675564,53.46100472135676,9.005018428409246,One-Year,Bank Transfer,4.0,Medium Risk
CUST00028,51.66091366225654,Male,15.712327366020553,77.00864282808206,14.494592415882316,Two-Year,Electronic Check,2.0,Low Risk
CUST00029,56.190610885351305,Male,12.606883262283922,135.16689574061692,14.674095164130255,Month-to-Month,Electronic Check,1.0,Medium Risk
CUST00030,62.04259087222775,Female,13.49977055963102,88.75930703094414,3.9497211641424994,Two-Year,Electronic Check,0.0,Low Risk
CUST00031,63.5775997331405,Female,22.48991213530195,31.20411070690576,10.284797955274435,Two-Year,Electronic Check,3.0,Low Risk
CUST00032,62.59988763091067,Female,10.309167515720207,63.76758507396956,2.1326964766541865,Two-Year,Credit Card,3.0,Low Risk
CUST00033,33.217747037807236,Female,14.724297120068773,157.57247099245978,12.213206124161673,Two-Year,Mailed Check,3.0,Medium Risk
CUST00034,48.44961428484003,Male,20.0,128.36399186381064,20.860409558527635,Two-Year,Electronic Check,2.0,Medium Risk
CUST00035,56.72228952032269,,26.601633995483787,64.88116726915868,14.234458660077522,Two-Year,Bank Transfer,,Low Risk
CUST00036,43.050920587603464,Female,12.856638785235093,117.543122051552,20.552771433580748,One-Year,Electronic Check,6.0,Medium Risk
CUST00037,,Female,23.75801693739415,69.5756594604689,2.0946111244533943,Two-Year,Electronic Check,1.0,Low Risk
CUST00038,46.989273117062574,Female,16.552328500243558,27.968577101057264,7.873474571630178,Two-Year,Mailed Check,0.0,Low Risk
CUST00039,52.77048839774072,Female,25.73110685913864,87.55361472051132,16.18513951805314,Two-Year,Bank Transfer,0.0,Low Risk
CUST00040,56.462174788868936,,9.607316826565352,127.52649631494374,26.620400531337623,Two-Year,Bank Transfer,7.0,Medium Risk
CUST00041,20.425880807887317,Male,16.224160679084505,64.47740870256123,2.253420012156147,One-Year,Electronic Check,1.0,Low Risk
CUST00042,52.1823368792699,Female,14.711728184364723,86.0709325149206,8.444492517794366,Month-to-Month,Electronic Check,1.0,Low Risk
CUST00043,58.9353313943076,Male,18.670555975785327,45.09560500598707,1.0,One-Year,Bank Transfer,2.0,Medium Risk
CUST00044,31.240100921926892,Male,25.03442476443491,27.388123057185467,2.4811944896140266,Month-to-Month,Mailed Check,1.0,Low Risk
CUST00045,27.173806682280066,Male,24.885420119874514,31.41979550781656,3.101755237932972,Month-to-Month,Mailed Check,3.0,Low Risk
CUST00046,42.68266910825265,Male,13.972180594377427,53.5393463309134,12.761678545962354,One-Year,Bank Transfer,0.0,Low Risk
CUST00047,28.13571622023413,Female,18.73342176727853,61.59280655903704,8.314132460732855,One-Year,Electronic Check,0.0,Low Risk
CUST00048,35.92913859072206,Female,7.984231681952625,171.01492418316545,27.37233896081525,Month-to-Month,Bank Transfer,0.0,Medium Risk
CUST00049,29.272005546019642,Male,18.30050208383945,154.872474825299,11.27477974665714,Two-Year,Electronic Check,1.0,Medium Risk
CUST00050,28.370772084712325,Male,13.493174351527252,49.48992403226567,3.0974403743367125,Month-to-Month,Electronic Check,0.0,Low Risk
CUST00051,51.460109804394015,Male,25.773743202865482,29.407837087850687,17.059746563703513,,Bank Transfer,1.0,Low Risk
CUST00052,53.69093783880816,Female,26.109381121977982,56.876283072913225,1.3220179859384569,One-Year,Credit Card,0.0,Low Risk
CUST00053,43.38892807009842,Female,6.3983940207608985,95.71697514578265,2.021177487724351,Month-to-Month,Bank Transfer,2.0,Low Risk
CUST00054,45.75010455347823,Female,16.676144716264325,59.87061951461783,17.0151449143927,Month-to-Month,Mailed Check,2.0,Low Risk
CUST00055,,Male,24.16902015872302,82.78777169882382,14.712972075029365,Two-Year,Credit Card,0.0,Low Risk
CUST00056,58.94159733505266,Male,24.300205389725434,62.928709797537365,20.423926105225,,Electronic Check,1.0,Low Risk
